OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,GEOGRAPH,TRACT,POVERTY200,TRACTCE,PERCENT_CA,PERCENT_TR,PERCENT_WA,TOTAL_POP,UNEMPLOYME,POVERTY_RA,MEDIAN_INC,PERCENT_BL,PERCENT_HI,HOME_OWN,F15_FI_RATE,F15_FI_POP,F15_LB_NEED,F15_LB_UNME,F15_DISTRIB,F15_PPIN,FY_FI_RATE,FY_FI_POP,FY_LB_UNME,FY_DISTRIB,FY_PPIN,F14_FI_RATE,F14_LB_UNME,F14_DISTRIB,F14_PPIN,SHAPEAREA,SHAPELEN
26,24,031,703402,24031703402,7034.02,Census Tract 7034.02,G5020,S,1257675,0,24031703402,703402,0,703402,87.4,12.5,0,3488,0.038,0.025,94750,0.095,0.506,0.928,0,0,0,0,0,0,0,0,0,0,0,2,12250.272452,2038.13,29.954845,1257564.74340202,4579.9876880903
27,24,031,701202,24031701202,7012.02,Census Tract 7012.02,G5020,S,1841629,6759,24031701202,701202,0,701202,76.3,22.8,0.8,2717,0.054,0.038,142813,0.035,0.134,0.889,0.032,86.857056,18239.98176,14701.076605,3538.905155,40.744015,3.2,87.030944,14863.288579,3413.209661,39.218346,3.6,17749.107675,2496.57,25.895904,1848217.694221,6774.56570732774
28,24,031,700400,24031700400,7004,Census Tract 7004,G5020,S,93079345,364854,24031700400,700400,0,700400,93.7,4.8,1.5,2179,0.085,0.057,123173,0.059,0.023,0.859,0.079,172.141,36149.61,36149.61,0,0,7.9,172.141,36149.61,0,0,5.7,26010.81,0,0,93438012.4163408,47131.9305127775
29,24,031,700103,24031700103,7001.03,Census Tract 7001.03,G5020,S,70050067,385901,24031700103,700103,0,700103,94,4.1,1.9,5776,0.066,0.033,154265,0.096,0.069,0.944,0.043,248.368,52157.28,50958.413292,1198.866708,4.826977,4.3,248.616368,50645.974374,1563.462906,6.288656,3.8,45539.408894,1007.93,4.547317,70431514.8275405,50527.4995210415
30,24,031,701900,24031701900,7019,Census Tract 7019,G5020,S,450895,0,24031701900,701900,0,701900,68.9,27.3,3.8,2970,0.098,0.145,55833,0.234,0.361,0.295,0.145,430.65,90436.5,50313.608139,40122.891861,93.168215,14.5,430.65,53167.95212,37268.54788,86.540225,16.3,69043.410302,40526.82,77.672851,450849.676184547,4064.41494373165
31,24,031,700101,24031700101,7001.01,Census Tract 7001.01,G5020,S,29846389,98358,24031700101,700101,0,700101,95.6,4.4,0,4477,0.066,0.023,159663,0.128,0.108,0.965,0.035,156.695,32905.95,31827.844956,1078.105044,6.880277,3.5,156.695,31598.766187,1307.183813,8.342218,3.1,27469.796355,1349.97,9.836805,29942841.6598719,30727.7781051065
32,24,031,700706,24031700706,7007.06,Census Tract 7007.06,G5020,S,3619163,23260,24031700706,700706,0,700706,82.3,12.3,5.5,3855,0.017,0.074,69444,0.262,0.294,0.364,0.092,355.01466,74553.0786,47387.107972,27165.970628,76.520701,9.2,354.30534,55998.597035,18405.524365,51.948199,10.9,68924.835368,13936.96,35.321011,3642143.65858715,9278.68208343826
33,24,031,700205,24031700205,7002.05,Census Tract 7002.05,G5020,S,23427020,57501,24031700205,700205,0,700205,95,5,0,6778,0.031,0.021,149537,0.106,0.096,0.963,0.019,128.782,27044.22,26610.481509,433.738491,3.368006,1.9,128.782,26614.906447,429.313553,3.333646,1.4,18509.855478,808.88,8.792797,23483080.8718878,28615.8563459212
34,24,031,701002,24031701002,7010.02,Census Tract 7010.02,G5020,S,2677971,2681,24031701002,701002,0,701002,91.7,7.9,0.4,3669,0.021,0.011,203125,0.018,0.062,0.923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2680413.40159309,6790.03574416494
35,24,031,703902,24031703902,7039.02,Census Tract 7039.02,G5020,S,2170257,204,24031703902,703902,0,703902,76.2,23.9,0,7128,0.095,0.128,84375,0.223,0.3,0.61,0.108,770.593824,161824.70304,111631.615085,50193.087955,65.135596,10.8,769.054176,111945.758926,49555.618034,64.437096,11.8,144388.366663,37843.75,43.610249,2170257.229281,6655.55985397482
